onset	duration	trial_type
21.915	8	Neutral - OBSERVAR
30.698	8	Neutral - OBSERVAR
39.997	8	Neutral - OBSERVAR
48.48	8	Neutral - OBSERVAR
86.178	8	Negativo - OBSERVAR
94.977	8	Negativo - OBSERVAR
103.476	8	Negativo - OBSERVAR
112.509	8	Negativo - OBSERVAR
146.207	8	Negativo - SUPRIMIR
155.006	8	Negativo - SUPRIMIR
163.505	8	Negativo - SUPRIMIR
172.538	8	Negativo - SUPRIMIR
220.268	8	Negativo - REDUCIR
229.551	8	Negativo - REDUCIR
238.35	8	Negativo - REDUCIR
247.383	8	Negativo - REDUCIR
289.464	8	Happy - SUPRIMIR
298.263	8	Happy - SUPRIMIR
307.562	8	Happy - SUPRIMIR
316.612	8	Happy - SUPRIMIR
355.026	8	Happy - INCREMENTAR
364.326	8	Happy - INCREMENTAR
372.825	8	Happy - INCREMENTAR
381.874	8	Happy - INCREMENTAR
421.589	8	Happy - OBSERVAR
430.888	8	Happy - OBSERVAR
439.387	8	Happy - OBSERVAR
448.437	8	Happy - OBSERVAR
492.217	8	Happy - OBSERVAR
501.267	8	Happy - OBSERVAR
510.066	8	Happy - OBSERVAR
519.366	8	Happy - OBSERVAR
561.963	8	Happy - INCREMENTAR
570.462	8	Happy - INCREMENTAR
579.512	8	Happy - INCREMENTAR
588.811	8	Happy - INCREMENTAR
629.492	8	Neutral - OBSERVAR
638.291	8	Neutral - OBSERVAR
646.791	8	Neutral - OBSERVAR
656.09	8	Neutral - OBSERVAR
701.404	8	Happy - SUPRIMIR
710.703	8	Happy - SUPRIMIR
719.503	8	Happy - SUPRIMIR
728.552	8	Happy - SUPRIMIR
770.983	8	Negativo - SUPRIMIR
780.282	8	Negativo - SUPRIMIR
789.082	8	Negativo - SUPRIMIR
797.581	8	Negativo - SUPRIMIR
841.195	8	Negativo - REDUCIR
850.244	8	Negativo - REDUCIR
859.044	8	Negativo - REDUCIR
867.543	8	Negativo - REDUCIR
909.624	8	Negativo - OBSERVAR
918.423	8	Negativo - OBSERVAR
927.723	8	Negativo - OBSERVAR
936.222	8	Negativo - OBSERVAR
973.686	8	Happy - SUPRIMIR
982.986	8	Happy - SUPRIMIR
991.485	8	Happy - SUPRIMIR
1000.285	8	Happy - SUPRIMIR
1042.949	8	Negativo - REDUCIR
1051.998	8	Negativo - REDUCIR
1060.498	8	Negativo - REDUCIR
1069.797	8	Negativo - REDUCIR
1109.178	8	Happy - OBSERVAR
1118.494	8	Happy - OBSERVAR
1126.993	8	Happy - OBSERVAR
1136.043	8	Happy - OBSERVAR
1175.49	8	Negativo - SUPRIMIR
1184.023	8	Negativo - SUPRIMIR
1193.072	8	Negativo - SUPRIMIR
1202.372	8	Negativo - SUPRIMIR
1244.536	8	Negativo - OBSERVAR
1253.035	8	Negativo - OBSERVAR
1261.835	8	Negativo - OBSERVAR
1271.134	8	Negativo - OBSERVAR
1306.932	8	Happy - INCREMENTAR
1316.231	8	Happy - INCREMENTAR
1325.031	8	Happy - INCREMENTAR
1334.08	8	Happy - INCREMENTAR
1372.678	8	Neutral - OBSERVAR
1381.494	8	Neutral - OBSERVAR
1390.543	8	Neutral - OBSERVAR
1399.042	8	Neutral - OBSERVAR
