run,seed,k_selected,silhouette,perm_p,n_fm,train_s,cluster_s
1,1,4,0.2030215412378311,0.974025974025974,28,9058.3,196.9
2,2,2,0.3310258686542511,0.1438561438561438,28,1147.1,92.3
3,3,2,0.3801295161247253,0.0829170829170829,28,1052.9,89.8
4,4,2,0.2617265880107879,0.4625374625374625,28,1899.1,92.6
5,5,3,0.2596906125545501,0.6023976023976024,28,2298.8,90.6
6,6,5,0.2578357458114624,0.3096903096903097,28,2391.5,94.7
7,7,4,0.2528667151927948,0.4925074925074925,28,2773.2,89.8
8,8,4,0.2902871072292328,0.2577422577422577,28,1688.2,90.5
9,9,3,0.2944661676883697,0.3556443556443556,28,2166.5,88.2
10,10,4,0.3073716163635254,0.1388611388611388,28,1110.2,89.3
11,11,2,0.3412511944770813,0.1378621378621378,28,1173.3,90.0
12,12,3,0.3101840913295746,0.2827172827172827,28,1427.8,89.2
13,13,6,0.2859795093536377,0.2227772227772227,28,1549.6,93.1
14,14,3,0.2861926257610321,0.4105894105894105,28,1650.6,89.6
15,15,4,0.2711831033229828,0.4725274725274725,28,1108.5,88.9
16,16,4,0.248814508318901,0.8091908091908092,28,1562.8,89.8
17,17,2,0.2890496551990509,0.2897102897102897,28,1635.4,90.9
18,18,2,0.3386016190052032,0.1628371628371628,28,1156.1,116.9
19,19,2,0.3242441713809967,0.2927072927072927,28,1155.5,87.4
20,20,5,0.2394923269748687,0.7792207792207793,28,1976.1,92.7
