seed,r,R2,perm_p
0,-0.1489039375350441,-0.07442850651855237,0.20679320679320679
1,-0.31921430607265144,-0.5465097152594698,0.33766233766233766
2,-0.40197085213283845,-0.10581419735182895,0.3946053946053946
3,-0.13406421327834206,-0.0872260157057061,0.2057942057942058
4,-0.421069614920644,-0.10117594584609635,0.4355644355644356
5,-0.5055592475621101,-0.0832289140324951,0.5054945054945055
6,-0.49849391621879446,-0.08761478333437167,0.5214785214785215
7,-0.4385464863822069,-0.08419631271568706,0.44155844155844154
8,-0.4862517335400095,-0.09775932410403265,0.47052947052947053
9,-0.5018122281689378,-0.06642051300824248,0.47052947052947053
