seed,r,R2,perm_p
0,-0.19229134686568006,-0.6154538392398536,0.2937062937062937
1,-0.8330905289274657,-0.08470242947927686,0.7292707292707292
2,0.2786605434693948,-0.01735783891876097,0.06893106893106893
3,-0.8224081223308216,-0.09558146765858,0.7532467532467533
4,-0.09963910821595094,-0.193520134774124,0.2137862137862138
5,-0.425993680838677,-0.4532498957680047,0.4915084915084915
6,0.4798149500466961,0.1952860260346897,0.00999000999000999
7,-0.45043157168453923,-0.20331818084365283,0.48151848151848153
8,-0.01789954453560249,-0.22982919713087946,0.16283716283716285
9,0.4786955739809885,0.11311546880127576,0.016983016983016984
