run,dModel,heads,layers,output,k,sil,perm_p
1,31,8,3,26,4,0.1459,0.8361638361638362
2,128,2,3,37,2,0.0633,0.999000999000999
3,116,5,4,21,4,0.1273,0.6803196803196803
4,105,2,4,33,4,0.1367,0.6373626373626373
5,81,7,4,54,5,0.1766,0.4905094905094905
6,55,7,3,40,5,0.1779,0.0579420579420579
7,58,4,2,50,4,0.1431,0.957042957042957
8,70,7,3,8,4,0.1213,0.906093906093906
9,27,3,4,15,4,0.0903,0.989010989010989
10,40,8,3,41,4,0.1897,0.3616383616383616
11,79,7,4,14,4,0.1571,0.4445554445554445
12,53,7,3,53,5,0.2152,0.3476523476523476
13,126,2,2,33,5,0.178,0.2427572427572427
14,21,2,3,23,4,0.1847,0.3606393606393606
15,75,8,4,8,4,0.1068,0.7622377622377622
16,19,8,3,64,4,0.131,0.8991008991008991
17,16,2,2,26,5,0.1743,0.5434565434565435
18,44,8,3,8,5,0.1657,0.3886113886113886
19,25,8,4,9,4,0.1115,0.8131868131868132
20,52,7,4,56,5,0.166,0.0599400599400599
