draw,silhouette,k_selected,ortho_silhouette,sep_sil
0,0.2011595517,5,0.1954906285,0.0129927546
1,0.1635523289,4,0.1957214624,-0.0016091435
2,0.1582251489,5,0.1701419801,-0.0045864135
3,0.1754900217,4,0.1840767264,0.0022432222
4,0.2451981902,5,0.2606073022,-0.0019646699
5,0.1888935566,5,0.2062582076,0.0029807424
6,0.1471662670,2,0.1769970953,-0.0013202640
7,0.1695042551,5,0.1809435487,-0.0053154454
8,0.1506573260,5,0.1493235826,-0.0038665687
9,0.2279060036,5,0.2429257333,0.0003556054
10,0.1453934312,5,0.1715182811,0.0002346031
11,0.1954453439,4,0.2328748852,-0.0106661813
12,0.1622077674,4,0.1899508834,0.0054202634
13,0.1478067786,4,0.1727519482,0.0039282730
14,0.1933922917,5,0.2059659511,-0.0037635374
15,0.1513216794,5,0.1474868059,-0.0040101442
16,0.1539482474,5,0.1273278594,-0.0086570634
17,0.2501346469,4,0.2677615881,0.0129283322
18,0.1378644705,4,0.1470193118,0.0056138923
19,0.1368843019,5,0.1299675405,0.0057096761
20,0.1559262872,5,0.1672614217,-0.0034795883
21,0.1653342843,5,0.1586232781,-0.0064097047
22,0.1379926205,5,0.1456912905,-0.0039148885
23,0.1838570237,5,0.1948366761,-0.0067172190
24,0.1184849441,2,0.1345343739,-0.0089375349
25,0.1425341368,4,0.1700454801,0.0126735121
26,0.1583618522,4,0.1631660461,-0.0062535498
27,0.1844987422,4,0.2173918188,-0.0101717114
28,0.3034887910,4,0.3773990571,0.0044833105
29,0.1759366542,4,0.2059415728,-0.0014623896
30,0.2090459764,5,0.2252334952,-0.0079303049
31,0.1586879045,4,0.1701709032,0.0127887977
32,0.2326525450,5,0.2503577471,-0.0050289095
33,0.1518929601,4,0.1893991381,0.0002923466
34,0.1917369068,4,0.2112759948,0.0023442006
35,0.1202137768,4,0.1318566203,0.0020094137
36,0.1799849570,4,0.1795332879,0.0056019588
37,0.1421679258,4,0.1807658225,0.0049249548
38,0.1329865605,5,0.1610104591,-0.0051515754
39,0.2093535215,5,0.2168953270,-0.0068399389
40,0.2034163177,5,0.2142097801,-0.0002724387
41,0.1951799542,5,0.2581899166,-0.0065230252
42,0.1728415936,5,0.1779055297,0.0280139353
43,0.1664274186,5,0.2073661387,-0.0048469575
44,0.1900941133,5,0.1905722767,0.0005362568
45,0.2703334689,4,0.3181465268,-0.0030439852
46,0.1838934273,5,0.2119469345,-0.0029795736
47,0.1829077750,2,0.2007839233,0.0109921610
