seed,r,R2,perm_p
0,-0.014275288453925726,-0.04621397627179369,0.157
1,-0.015424924180165828,-0.04548467267636025,0.154
2,-0.1293080708936271,-0.07222219127203156,0.217
3,-0.006281940353484252,-0.041002290718925805,0.156
4,-0.05550215797888624,-0.052889576037819186,0.173
5,-0.09098488012736443,-0.06242794694092302,0.2
6,-0.033091028449044664,-0.049835445784846444,0.161
7,-0.16461964585362818,-0.08695769778561013,0.234
8,-0.10628863916132848,-0.0730862588640846,0.219
9,0.0174651311071107,-0.0363011122787007,0.142
