seed,r,R2,perm_p
0,-0.7629161977521942,-0.09098501884114829,0.696
1,-0.3802842065884475,-0.2175517006321932,0.411
2,-0.16472690222686162,-0.2285888066349402,0.235
3,-0.3612321188011906,-0.25300662021030296,0.399
4,0.45121706842810005,0.046389293630312856,0.01
5,-0.25076590303831625,-0.48439674389322485,0.311
6,-0.34867386940980144,-0.2671993933056702,0.384
7,0.2525519390665173,-0.12321531295627408,0.057
8,0.39188388664163837,0.064497725526528,0.017
9,-0.8253357204066474,-0.09226349952096946,0.746
