seed,r,R2,perm_p
0,-0.31926316106370217,-0.12892908655053348,0.3386613386613387
1,-0.5864496399617604,-0.08932834430316516,0.5684315684315684
2,-0.18146542328040477,-0.07492626863648844,0.25774225774225773
3,-0.4908726446722223,-0.11364179261630714,0.46653346653346656
4,-0.5076586541049035,-0.1326600882085145,0.5364635364635365
5,-0.49555568896765584,-0.13063541718612615,0.4825174825174825
6,-0.4837177501233525,-0.10304571291906739,0.4915084915084915
7,-0.18321395938460794,-0.07217762383046411,0.24075924075924077
8,-0.392992769507256,-0.13569508551366183,0.41858141858141856
9,-0.5917676978749246,-0.10552095906859504,0.5704295704295704
