cluster_min,cluster_sizes,dModel,dropout,hc_p,hc_sil,heads,k_gap_at_boundary,k_selected,layers,lr,maskRate,ntXentTemp,output,perm_p,run,search_min,silhouette,status,timestamp,train_min,weightDecay
1.1,6/13/9,62,0.0789359852,1.0,0.0002564180176705122,6,True,3,4,0.0015210159,0.1893680979,0.0609452147,22,0.5894105894105894,1,232.1,0.2631718516349792,ok,2026-07-27T00:18:18,1.4,0.0235573766
1.1,12/8/8,75,0.2525155706,1.0,0.009104245342314243,3,True,3,3,0.0013630148,0.2405952497,0.0501245112,25,0.5674325674325674,2,46.2,0.2673992216587066,ok,2026-07-27T01:06:53,1.3,0.0003028665
1.0,10/18,39,0.2171327178,1.0,0.002461986383423209,3,True,2,2,0.0006367467,0.2416754479,0.0604540762,8,0.8031968031968032,3,37.6,0.2347344309091568,ok,2026-07-27T01:46:53,1.3,0.0145008777
1.0,8/9/11,47,0.0092824569,1.0,-0.009667743928730488,2,False,3,2,0.0014654226,0.1078689125,0.0509342496,55,0.5444555444555444,4,90.3,0.2359915077686309,ok,2026-07-27T03:19:27,1.3,0.0591254113
1.1,14/14,55,0.2965798708,1.0,-0.00048380973748862743,7,True,2,3,0.0016218336,0.1195166816,0.0515617114,25,0.3196803196803197,5,116.1,0.318188339471817,ok,2026-07-27T05:18:02,1.4,0.0006783393
1.1,13/10/5,66,0.1581260253,1.0,0.016837453469634056,3,True,3,3,0.002977553,0.1399599489,0.0528957247,26,0.2717282717282717,6,62.2,0.2790322601795196,ok,2026-07-27T06:22:25,1.1,0.0006921863
1.1,12/16,19,0.2993820007,1.0,0.015445226803421974,7,False,2,4,0.0002543339,0.0645996012,0.0510918344,13,0.6763236763236763,7,504.4,0.2430623471736908,ok,2026-07-27T18:28:41,2.4,0.0100554585
1.1,14/8/6,36,0.0354355457,1.0,0.003159446408972144,6,True,3,3,0.0015119963,0.0993488522,0.0506689726,35,0.8131868131868132,8,50.5,0.2640896141529083,ok,2026-07-27T19:21:35,1.3,0.0001026075
1.3,7/10/7/4,55,0.2933972957,1.0,0.00640166737139225,7,True,4,4,0.0001227033,0.0842258783,0.0571658087,50,0.8251748251748252,9,193.1,0.2483225166797638,ok,2026-07-27T22:38:34,2.6,0.0002387586
1.2,16/12,86,0.2903172608,1.0,9.849823254626244e-05,4,True,2,4,0.000126066,0.0893292171,0.0585440342,60,0.2987012987012987,10,187.3,0.3292740285396576,ok,2026-07-28T01:49:09,2.0,0.0001488186
1.2,6/6/8/8,73,0.2949031126,1.0,0.019609108567237854,8,True,4,2,0.0002658568,0.2101306202,0.0505811765,17,0.7532467532467533,11,526.0,0.2570059299468994,ok,2026-07-28T10:38:29,2.1,0.008789241
1.1,15/13,23,0.0409077538,1.0,0.014584841206669807,4,False,2,4,0.0002024346,0.1780847636,0.0502370618,34,0.7402597402597403,12,103.8,0.2473602443933487,ok,2026-07-28T12:25:02,1.6,0.0006793266
1.1,6/5/9/8,57,0.07475805,1.0,0.0065740239806473255,2,True,4,3,0.0011157247,0.1659896038,0.0668029136,36,0.6663336663336663,13,64.0,0.2423563450574875,ok,2026-07-28T13:31:26,1.3,0.0005339848
1.2,10/11/7,111,0.1339420513,1.0,0.011386686936020851,6,True,3,3,0.0004170568,0.0960116839,0.0508031261,10,0.6923076923076923,14,61.6,0.2380302399396896,ok,2026-07-28T14:37:40,3.4,0.0209199821
